iso3,year,imports_from_vn_usd,vn_reported_exports_usd
AUS,2009,2562507851.0,2386092467.0
AUS,2010,2979042723.0,2704003540.0
AUS,2011,2916414824.0,2601965229.0
AUS,2012,3263306639.0,3208732853.0
AUS,2013,3665514118.0,3488123369.0
AUS,2014,4462048058.0,3988213779.0
AUS,2015,3354368393.0,2905591718.0
AUS,2016,3332260132.0,2864858060.52
AUS,2017,3944661983.86,3271003401.9
AUS,2018,4631876515.1,3965869089.34
AUS,2019,4263851615.72,3495325162.14
AUS,2020,4426674821.04,3622276263.38
AUS,2021,5373412353.82,4454672936.98
AUT,2002,83972349.0,29748224.0
AUT,2003,105230447.0,38136770.0
AUT,2004,143928095.0,59544542.0
AUT,2005,185391028.0,88898982.0
AUT,2006,236927016.0,97476941.0
AUT,2007,306902597.0,112137607.0
AUT,2008,383693411.0,108730847.0
AUT,2009,293503157.0,103386158.0
AUT,2010,337928879.0,144022674.0
AUT,2011,474418667.0,461537115.0
AUT,2012,535383136.48,1065231610.0
AUT,2013,626990370.95,1905046785.0
AUT,2014,781892485.61,2158772724.0
AUT,2015,774406942.68,2188698880.0
AUT,2016,840455681.47,2631290421.33
AUT,2017,961231350.77,3705272826.2
AUT,2018,969008884.16,4078873211.29
AUT,2019,1114871776.23,3265952692.99
AUT,2020,1102010042.63,2882272731.74
AUT,2021,1426214789.03,3022162319.44
AZE,2002,6055.0,20228.0
AZE,2003,475625.0,75086.0
AZE,2004,521484.0,75491.0
AZE,2005,983805.0,681350.0
AZE,2006,63956.0,379752.0
AZE,2007,340854.0,1125002.0
AZE,2008,3322289.0,2191355.0
AZE,2009,5140484.0,0
AZE,2010,1138170.0,2130949.0
AZE,2011,1371072.0,0
AZE,2012,3305707.0,24187264.0
AZE,2013,5205786.0,56884282.0
AZE,2014,4390346.0,73590210.0
AZE,2015,9701459.94,34216086.0
AZE,2016,27197069.82,5138595.05
AZE,2017,46036757.85,1318719.2
AZE,2018,66578112.33,2484730.92
AZE,2019,81773571.57,2022859.58
AZE,2020,80551270.02,3653396.29
AZE,2021,112699485.66,1747225.59
BDI,2002,0,149362.0
BDI,2003,0,131975.0
BDI,2004,0,271595.0
BDI,2005,586709.0,728600.0
BDI,2006,777910.0,3392668.0
BDI,2007,163276.0,701716.0
BDI,2009,651601.0,0
BDI,2010,493999.38,5057651.0
BDI,2011,6089366.0,0
BDI,2012,3195219.0,0
BDI,2013,1799231.0,0
BDI,2014,16405570.0,17524694.0
BDI,2015,20995242.0,0
BDI,2016,5185563.0,0
BDI,2017,2068304.74,0
BDI,2018,2395859.73,0
BDI,2019,13902252.98,0
BDI,2020,4873611.12,0
BDI,2021,3323257.51,0
BEL,2002,468397441.0,337115065.0
BEL,2003,561124834.0,391357277.0
BEL,2004,680583876.0,515730576.0
BEL,2005,768212923.0,544074528.0
BEL,2006,907380789.0,687487695.0
BEL,2007,1076171810.0,849028850.0
BEL,2008,1339168589.0,1019165471.0
BEL,2009,933004273.0,831712622.0
BEL,2010,372878578.93,848838090.0
BEL,2011,451788271.27,1199694282.0
BEL,2012,412900480.02,1146718655.0
BEL,2013,482515794.91,1323340023.0
BEL,2014,514039071.21,1805539095.0
BEL,2015,523918000.92,1779487078.0
BEL,2016,510702986.99,1967240011.06
BEL,2017,624537483.84,2250572313.4
BEL,2018,756550393.39,2410477848.12
BEL,2019,719086157.36,2552275643.81
BEL,2020,592735110.6,2313678776.92
BEL,2021,837326666.31,3604253565.08
BEN,2002,64855.0,779589.0
BEN,2003,270633.0,503687.0
BEN,2004,685318.0,1285348.0
BEN,2005,2556615.0,2091556.0
BEN,2006,2493591.0,6099888.0
BEN,2007,7509968.0,15399511.0
BEN,2008,1931076.0,10499053.0
BEN,2009,6587639.0,23168363.0
BEN,2010,6269287.0,13124173.0
BEN,2011,5876481.0,15621992.0
BEN,2012,1671600.0,9608927.0
BEN,2013,8457456.0,22487829.0
BEN,2014,25261325.0,27532806.0
BEN,2015,6721018.99,21153823.0
BEN,2016,2970695.6,15865696.1
BEN,2017,2331072.51,19194395.7
BEN,2018,3117012.28,0
BEN,2019,7612264.42,0
BEN,2020,6457313.46,0
BEN,2021,21058040.38,0
BFA,2002,5732831.0,97840.0
BFA,2003,89196.0,165574.0
